name;coords;phone-number;rating;address;working-hours;category;place_id
СушиХан;[49.231969, 55.750609];+7 (987) 225-55-30;4.0;ул. Кул Гали, 11Б, Казань;[];кафе;45
Sky;[49.132684, 55.814295];+7 (843) 296-33-33;4.1;ул. Фатыха Амирхана, 1Е, Казань;['Mo 10:00-23:00', 'Tu 10:00-23:00', 'We 10:00-23:00', 'Th 10:00-23:00', 'Fr 09:00-00:00', 'Sa 09:00-00:00', 'Su 09:00-23:00'];кафе;46
Азу;[49.134159, 55.780535];+7 (987) 226-56-36;4.4;Петербургская ул., 52, КазаньБЦ ИТ-Парк, этаж 1;['Mo 07:00-22:00', 'Tu 07:00-22:00', 'We 07:00-22:00', 'Th 07:00-22:00', 'Fr 07:00-22:00', 'Sa 08:00-22:00', 'Su 08:00-22:00'];кафе;47
Шербурские зонтики;[49.133705, 55.79831];+7 (843) 236-55-89;4.3;ул. Гоголя, 27, Казань;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;48
Fitness Food Cafe;[49.127517, 55.777969];;4.2;ул. Хади Такташа, 24, Казань;['Mo 09:00-22:00', 'Tu 09:00-22:00', 'We 09:00-22:00', 'Th 09:00-22:00', 'Fr 09:00-22:00', 'Sa 10:00-21:00', 'Su 10:00-21:00'];кафе;49
У озера;[48.968277, 55.841514];+7 (987) 297-44-22;4.2;3, Кировский район, территория Озеро Лебяжье, КазаньБаза Лебяжье;['Mo 09:00-23:00', 'Tu 09:00-23:00', 'We 09:00-23:00', 'Th 09:00-23:00', 'Fr 09:00-23:00', 'Sa 09:00-23:00', 'Su 09:00-23:00'];кафе;50
OmNomNom;[49.120248, 55.787483];+7 (987) 297-89-10;4.3;ул. Баумана, 82, Казань • этаж 1;['Mo 11:00-23:00', 'Tu 11:00-23:00', 'We 11:00-23:00', 'Th 11:00-23:00', 'Fr 11:00-00:00', 'Sa 11:00-00:00', 'Su 11:00-23:00'];кафе;51
Doski;[49.12376, 55.789186];+7 (843) 245-35-05;4.2;ул. Пушкина, 17, Казань;['Mo 12:00-03:00', 'Tu 12:00-03:00', 'We 12:00-03:00', 'Th 12:00-03:00', 'Fr 12:00-05:00', 'Sa 12:00-05:00', 'Su 12:00-03:00'];кафе;52
Tawooks;[49.108733, 55.788034];+7 (960) 053-68-00;4.5;Московская ул., 40, Казаньэтаж цокольный;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;53
Кафе;[49.080455, 55.830182];;3.5;ул. Декабристов, 177, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;54
Тимарай;[49.136244, 55.816768];+7 (843) 527-68-10;3.9;ул. Сибгата Хакима, 33, Казань;['Mo 09:00-18:00', 'Tu 09:00-18:00', 'We 09:00-18:00', 'Th 09:00-18:00', 'Fr 09:00-18:00'];кафе;55
Гирос;[49.156614, 55.787872];+7 (917) 867-38-08;4.6;Товарищеская ул., 16, Казань;['Mo 11:00-22:00', 'Tu 11:00-22:00', 'We 11:00-22:00', 'Th 11:00-22:00', 'Fr 11:00-22:00', 'Sa 11:00-22:00', 'Su 11:00-21:00'];кафе;56
Caviar;[49.131725, 55.778171];+7 (843) 215-10-12;4.4;Спартаковская ул., 12, Казань • этаж 2;['Mo 15:00-01:00', 'Tu 15:00-01:00', 'We 15:00-01:00', 'Th 15:00-01:00', 'Fr 15:00-03:00', 'Sa 15:00-03:00', 'Su 15:00-01:00'];кафе;57
Супстанция;[49.110365, 55.787974];+7 (937) 006-41-64;4.1;ул. Мартына Межлаука, 6, Казань;['Mo 10:00-20:00', 'Tu 10:00-20:00', 'We 10:00-20:00', 'Th 10:00-20:00', 'Fr 10:00-20:00', 'Sa 10:00-20:00', 'Su 10:00-20:00'];кафе;58
Дакар;[49.173519, 55.778749];;4.0;Гвардейская ул., 45, Казань;['Mo 08:00-19:00', 'Tu 08:00-19:00', 'We 08:00-19:00', 'Th 08:00-19:00', 'Fr 08:00-19:00', 'Sa 08:00-19:00', 'Su 08:00-19:00'];кафе;59
Grand coffee;[49.088248, 55.813583];+7 (931) 338-48-78;4.1;ул. Мулланура Вахитова, 8, Казань;['Mo 08:00-20:00', 'Tu 08:00-20:00', 'We 08:00-20:00', 'Th 08:00-20:00', 'Fr 08:00-20:00', 'Sa 08:00-20:00', 'Su 08:00-20:00'];кафе;60
Обед бери;[49.044122, 55.830006];+7 (909) 307-02-04;4.1;ул. Восстания, 100, корп. 9010, Казаньэтаж 2;['Mo 08:00-19:00', 'Tu 08:00-19:00', 'We 08:00-19:00', 'Th 08:00-19:00', 'Fr 08:00-19:00'];кафе;61
Бишкек;[49.10841, 55.781535];+7 (917) 893-40-01;4.3;ул. Нариманова, 51, Казань;['Mo 09:00-23:00', 'Tu 09:00-23:00', 'We 09:00-23:00', 'Th 09:00-23:00', 'Fr 09:00-23:00', 'Sa 09:00-23:00', 'Su 09:00-23:00'];кафе;62
Алсултан;[49.189481, 55.745491];+7 (965) 582-58-40;4.1;ул. Академика Парина, 6, Казань;['Mo 08:00-01:00', 'Tu 08:00-01:00', 'We 08:00-01:00', 'Th 08:00-01:00', 'Fr 08:00-01:00', 'Sa 08:00-01:00', 'Su 08:00-01:00'];кафе;63
Оазис;[49.071196, 55.811853];+7 (903) 306-19-31;4.2;Краснококшайская ул., 53А, Казань;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-00:00', 'Sa 11:00-00:00', 'Su 11:00-00:00'];кафе;64
Хмельная изба;[49.182247, 55.766564];+7 (843) 275-96-00;4.0;Даурская ул., 29, Казань;['Mo 07:00-23:00', 'Tu 07:00-23:00', 'We 07:00-23:00', 'Th 07:00-23:00', 'Fr 07:00-23:00', 'Sa 07:00-23:00', 'Su 07:00-23:00'];кафе;65
Ханума;[49.116985, 55.789031];+7 (917) 925-75-92;4.8;ул. Баумана, 68, Казань • этаж 1;['Mo 08:00-21:00', 'Tu 08:00-21:00', 'We 08:00-21:00', 'Th 08:00-21:00', 'Fr 08:00-21:00'];кафе;66
Плов № 1;[49.151632, 55.766293];+7 (964) 501-38-82;4.1;Республика Татарстан, Казань, улица Халева;['Mo 08:00-22:00', 'Tu 08:00-22:00', 'We 08:00-22:00', 'Th 08:00-22:00', 'Fr 08:00-22:00', 'Sa 09:00-22:00', 'Su 09:00-22:00'];кафе;67
Казанский кучтэнэч;[49.112057, 55.796789];;4.3;ул. Миславского, 9, Казань;['Mo 08:00-19:00', 'Tu 08:00-19:00', 'We 08:00-19:00', 'Th 08:00-19:00', 'Fr 08:00-19:00', 'Sa 08:00-19:00', 'Su 08:00-19:00'];кафе;68
